"ENTIDAD","ACTPRI","ACTSEC","ACTTER","PARPIB","AVA","PIBCRE","COM","INDMAN","SERVINM","EDU","TRANS","ACTGOB","AGROFOR","MIN","OTROS","SECPRIN","TRABTOT"
"TABASCO","2","54.2","43.8","3.14","0.42","3.88","5.5","4.6","6.9","2.9","3.1","2.5","2.2","56","19.9","MINERIA PETROLERA","308616"
"MERIDA","3.8","28.9","67.3","1.52","0.09","3.15","16.4","17.2","12.3","5","4.3","4.2","3.8","0","19.9","COMERCIO","516924"
