"ENTIDAD","TURTOT","TURNAC","TUREXT","TIPTUR","ZONATUR","INMTOT","INMNAC","INMINT","INMCHI","INMTAB","INMVER","INMCAM","INMQRO","INMCDM","INMEUA","INMCAN","INMHON","INMGUA","INMCUB","INMVEN","POBTOT","HABLEIND","TERR","MUN","LOCURB","LOCRUR","POBUR","POBRUR","PROED","PORANA","RECAT","REPRO","SINRE","VIVIPAR","UNDOR","DOSDOR","TRESDOR","CUADOR","CINDOR","AGUPOT","ENEREL","DRENPUB","HOGNUC","HOGAMP","HOGCOM","UNIPER","CORRES"
"TABASCO","32000","92","8","6","13","37285","23.1","76.9","18","0","8","5","3","2","17","*","18","12.4","6.4","22.2","2402598","85823","1.3","17","148","2324","59","41","9.7","2.6","62.2","27","10.2","669303","39.3","42.8","15.2","2.3","0.4","66.9","93.3","49.7","63.3","24","0.8","11.4","0.4"
"MERIDA","35551","79","21","5","12","100209","42","58","*","6","7","13","10","5","41","10","0","0","7","0","2320898","525092","2","106","112","2322","86","14","9.6","3","74.3","16","8.6","658085","39.7","44.7","12.9","2.2","0.4","78.1","98.9","13","61.6","23.9","1.2","12.5","0.7"
